sample,desc,train_score,test_score,precision,recall,accuracy,f1_score,model,num_features,num_rows_train,num_rows_test,last_feature
under,"['year', 'color_id', 'quantity']",0.5725136818267598,0.7128109736862144,0.06076301650496695,0.42787152966793685,0.7128109736862144,0.10641394482992046,LogisticRegression(),3,63588,91929,quantity
under,"['year', 'color_id', 'quantity', 'is_trans']",0.5725136818267598,0.7128109736862144,0.06076301650496695,0.42787152966793685,0.7128109736862144,0.10641394482992046,LogisticRegression(),4,63588,91929,is_trans
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.895593508209096,0.7031295891394446,0.10196170958608602,0.8233532934131736,0.7031187111792797,0.1814528222662108,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",7,63588,91929,part_name_len
under,"['year', 'color_id']",0.5789771655029251,0.6732151986859424,0.058474831709032456,0.4752313554708764,0.6732151986859424,0.10413622401813138,LogisticRegression(),2,63588,91929,color_id
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len']",0.5598697867522174,0.6718663316254936,0.05472820788650956,0.4431137724550898,0.6718663316254936,0.09742377547051255,LogisticRegression(),5,63588,91929,part_num_len
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len']",0.8043026986223816,0.6526558539742627,0.09216869208786768,0.8690800217746325,0.6526558539742627,0.16666231698723805,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",5,63588,91929,part_num_len
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len']",0.8043026986223816,0.6520793220855226,0.09198086014066643,0.8685356559608056,0.6520793220855226,0.16634520148047752,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",6,63588,91929,color_name_len
under,"['year', 'color_id', 'quantity', 'is_trans']",0.78582436937787,0.6356318463161788,0.08884354491810512,0.8769733260751225,0.6356318463161788,0.1613420130195293,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",4,63588,91929,is_trans
under,"['year', 'color_id', 'quantity']",0.78582436937787,0.6338696167694634,0.08853880777253266,0.8780620577027762,0.6338696167694634,0.16085764148591375,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",3,63588,91929,quantity
under,"['year', 'color_id']",0.7673145876580487,0.6270926475867246,0.08862664982124137,0.8973870440936309,0.6270926475867246,0.16132110091743118,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",2,63588,91929,color_id
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len']",0.5637069887400138,0.6251346147570408,0.05291742906102059,0.4959172563962983,0.6251346147570408,0.09563049468573677,LogisticRegression(),6,63588,91929,color_name_len
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.5640529659684217,0.5778698778405074,0.05170477746018783,0.5514425694066413,0.5778698778405074,0.09454477577115124,LogisticRegression(),7,63588,91929,part_name_len
under,['year'],0.7340221425426181,0.534347159220703,0.07537055925692832,0.9452912357103974,0.534347159220703,0.1396096717785862,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",1,63588,91929,year
under,['year'],0.5,0.03996562564587888,0.03996562564587888,1.0,0.03996562564587888,0.0768595127767957,LogisticRegression(),1,63588,91929,year
