sample,desc,train_score,test_score,precision,recall,accuracy,f1_score,model,num_features,num_rows_train,num_rows_test,last_feature
balanced,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len']",0.9632420750846972,0.960404224999728,0.5726495726495726,0.0364725095264017,0.960404224999728,0.0685772773797338,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",5,827359,91929,part_num_len
balanced,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len']",0.9632420750846972,0.9603715911192332,0.5665236051502146,0.0359281437125748,0.9603715911192332,0.0675710263629383,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",6,827359,91929,color_name_len
balanced,"['year', 'color_id']",0.9617131136544111,0.960284567437914,0.6455696202531646,0.0138813282525857,0.960284567437914,0.0271782573940847,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",2,827359,91929,color_id
balanced,"['year', 'color_id', 'quantity', 'is_trans']",0.9621748237464028,0.9600996421151106,0.5357142857142857,0.012248230811105,0.9600996421151106,0.0239489089941458,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",4,827359,91929,is_trans
balanced,"['year', 'color_id', 'quantity']",0.9621748237464028,0.9600887641549456,0.5294117647058824,0.012248230811105,0.9600887641549456,0.0239425379090183,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",3,827359,91929,quantity
balanced,['year'],0.9615716998304242,0.9600343743541212,0.0,0.0,0.9600343743541212,0.0,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",1,827359,91929,year
balanced,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.96899169526167,0.9597733033101632,0.4868995633187773,0.1213935764833968,0.9597733033101632,0.1943355119825708,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",7,827359,91929,part_name_len
over,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.8851570896155563,0.7916979408021407,0.1206921907936663,0.6701143168209036,0.7916979408021407,0.2045445104473892,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",7,1591130,91929,part_name_len
under,"['year', 'color_id', 'quantity']",0.5725136818267598,0.7128109736862144,0.06076301650496695,0.42787152966793685,0.7128109736862144,0.10641394482992046,LogisticRegression(),3,63588,91929,quantity
under,"['year', 'color_id', 'quantity', 'is_trans']",0.5725136818267598,0.7128109736862144,0.06076301650496695,0.42787152966793685,0.7128109736862144,0.10641394482992046,LogisticRegression(),4,63588,91929,is_trans
balanced,"['year', 'color_id', 'quantity', 'is_trans']",0.710640725489177,0.7118210793112075,0.0605838853797565,0.4281437125748503,0.7118210793112075,0.1061475133274849,"LogisticRegression(C=1e-05, class_weight='balanced', random_state=1)",4,827359,91929,is_trans
